,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,0.00698632391489,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,34381.3127537,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,8100.33383099,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,0.0407855748496,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.0164878334333,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,17782.5095087,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.00326920493906,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,0.00664056554099,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,4507.1076696,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,27852.9358917,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,8626.02998085,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,0.0227969194677,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,6676.60121774,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.00534634770786,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,4691.34031893,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,8.19249972676,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.00664285951933,43569.1218573,1.0,onwind,0.015
FR1 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0100719356614,81168.9280372,1.0,onwind,0.015
FR2 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0206620854333,106764.280358,1.0,onwind,0.015
FR3 onwind,FR,PQ,136428.031355,True,variable,0.0,120019.503993,120019.509498,1.0,onwind,0.015
FR offwind,FR,PQ,295041.156155,True,variable,0.0,0.0959164773066,52440.7346121,1.0,offwind,0.02
FR solar,FR,PQ,76486.3103324,True,variable,0.0,20769.5697526,396490.695546,1.0,solar,0.01
FR OCGT,FR,PQ,47234.5614044,True,flexible,0.0,11107.6479479,inf,0.39,OCGT,58.3846153846
FR ror,FR,PQ,0.0,False,variable,14122.7428768,14122.7428768,inf,1.0,ror,0.0
NO0 onwind,NO,Slack,136428.031355,True,variable,0.0,0.0051795635017,44266.8732453,1.0,onwind,0.015
NO1 onwind,NO,PQ,136428.031355,True,variable,0.0,0.00996840669266,64706.049073,1.0,onwind,0.015
NO2 onwind,NO,PQ,136428.031355,True,variable,0.0,75136.1931679,85672.7039587,1.0,onwind,0.015
NO offwind,NO,PQ,295041.156155,True,variable,0.0,0.00480611571731,65256.982421,1.0,offwind,0.02
NO solar,NO,PQ,76486.3103324,True,variable,0.0,0.00489526477272,128135.77152,1.0,solar,0.01
NO OCGT,NO,PQ,47234.5614044,True,flexible,0.0,1.16037615743,inf,0.39,OCGT,58.3846153846
NO ror,NO,PQ,0.0,False,variable,2317.99733848,2317.99733848,inf,1.0,ror,0.0
BE onwind,BE,Slack,136428.031355,True,variable,0.0,0.0155159980802,24161.9951718,1.0,onwind,0.015
BE offwind,BE,PQ,295041.156155,True,variable,0.0,3902.17276791,3902.17600053,1.0,offwind,0.02
BE solar,BE,PQ,76486.3103324,True,variable,0.0,0.0635356538199,32504.0376429,1.0,solar,0.01
BE OCGT,BE,PQ,47234.5614044,True,flexible,0.0,6952.64643226,inf,0.39,OCGT,58.3846153846
BE ror,BE,PQ,0.0,False,variable,142.0,142.0,inf,1.0,ror,0.0
GB0 onwind,GB,Slack,136428.031355,True,variable,0.0,0.0504588532621,72616.0284063,1.0,onwind,0.015
GB1 onwind,GB,PQ,136428.031355,True,variable,0.0,126070.729548,126070.735743,1.0,onwind,0.015
GB offwind,GB,PQ,295041.156155,True,variable,0.0,0.00591811671358,180446.507451,1.0,offwind,0.02
GB solar,GB,PQ,76486.3103324,True,variable,0.0,0.00790579652573,212041.178578,1.0,solar,0.01
GB OCGT,GB,PQ,47234.5614044,True,flexible,0.0,3014.13496097,inf,0.39,OCGT,58.3846153846
GB ror,GB,PQ,0.0,False,variable,886.0,886.0,inf,1.0,ror,0.0
PL0 onwind,PL,Slack,136428.031355,True,variable,0.0,0.0174426526435,48041.6990537,1.0,onwind,0.015
PL1 onwind,PL,PQ,136428.031355,True,variable,0.0,0.0300176531956,88300.3370788,1.0,onwind,0.015
PL2 onwind,PL,PQ,136428.031355,True,variable,0.0,3249.04639792,82185.1687724,1.0,onwind,0.015
PL offwind,PL,PQ,295041.156155,True,variable,0.0,12772.7070387,12772.9322259,1.0,offwind,0.02
PL solar,PL,PQ,76486.3103324,True,variable,0.0,0.00980311059715,241452.203044,1.0,solar,0.01
PL OCGT,PL,PQ,47234.5614044,True,flexible,0.0,3209.0812988,inf,0.39,OCGT,58.3846153846
PL ror,PL,PQ,0.0,False,variable,1663.48314597,1663.48314597,inf,1.0,ror,0.0
BG onwind,BG,Slack,136428.031355,True,variable,0.0,0.00657147021351,56309.389011,1.0,onwind,0.015
BG offwind,BG,PQ,295041.156155,True,variable,0.0,0.00159365522321,2730.87703188,1.0,offwind,0.02
BG solar,BG,PQ,76486.3103324,True,variable,0.0,6547.19015615,62957.8920825,1.0,solar,0.01
BG OCGT,BG,PQ,47234.5614044,True,flexible,0.0,7.98310859767,inf,0.39,OCGT,58.3846153846
BG ror,BG,PQ,0.0,False,variable,939.0,939.0,inf,1.0,ror,0.0
GR onwind,GR,Slack,136428.031355,True,variable,0.0,0.00881988463458,33247.8987692,1.0,onwind,0.015
GR offwind,GR,PQ,295041.156155,True,variable,0.0,20271.1382815,42776.7669249,1.0,offwind,0.02
GR solar,GR,PQ,76486.3103324,True,variable,0.0,6097.11589671,56126.4740752,1.0,solar,0.01
GR OCGT,GR,PQ,47234.5614044,True,flexible,0.0,7.92101782287,inf,0.39,OCGT,58.3846153846
GR ror,GR,PQ,0.0,False,variable,648.0,648.0,inf,1.0,ror,0.0
PT onwind,PT,Slack,136428.031355,True,variable,0.0,0.0525608001782,48246.9545252,1.0,onwind,0.015
PT offwind,PT,PQ,295041.156155,True,variable,0.0,0.00462054879761,8100.28978217,1.0,offwind,0.02
PT solar,PT,PQ,76486.3103324,True,variable,0.0,23416.1446103,38644.945722,1.0,solar,0.01
PT OCGT,PT,PQ,47234.5614044,True,flexible,0.0,434.170217543,inf,0.39,OCGT,58.3846153846
PT ror,PT,PQ,0.0,False,variable,3859.54246907,3859.54246907,inf,1.0,ror,0.0
CH onwind,CH,Slack,136428.031355,True,variable,0.0,0.00523460997955,40009.1368411,1.0,onwind,0.015
CH solar,CH,PQ,76486.3103324,True,variable,0.0,33191.1732549,33191.2030811,1.0,solar,0.01
CH OCGT,CH,PQ,47234.5614044,True,flexible,0.0,0.554117073801,inf,0.39,OCGT,58.3846153846
CH ror,CH,PQ,0.0,False,variable,507.22601419,507.22601419,inf,1.0,ror,0.0
HR onwind,HR,Slack,136428.031355,True,variable,0.0,0.0106055406142,26191.7407385,1.0,onwind,0.015
HR offwind,HR,PQ,295041.156155,True,variable,0.0,0.00382893553621,18674.160291,1.0,offwind,0.02
HR solar,HR,PQ,76486.3103324,True,variable,0.0,7056.28188131,24763.9061429,1.0,solar,0.01
HR OCGT,HR,PQ,47234.5614044,True,flexible,0.0,446.760099611,inf,0.39,OCGT,58.3846153846
HR ror,HR,PQ,0.0,False,variable,800.0,800.0,inf,1.0,ror,0.0
RO0 onwind,RO,Slack,136428.031355,True,variable,0.0,0.00450287687888,31316.9832275,1.0,onwind,0.015
RO1 onwind,RO,PQ,136428.031355,True,variable,0.0,0.0112464990152,110850.902559,1.0,onwind,0.015
RO offwind,RO,PQ,295041.156155,True,variable,0.0,0.0134966096725,12769.4118953,1.0,offwind,0.02
RO solar,RO,PQ,76486.3103324,True,variable,0.0,20868.7833065,185750.85085,1.0,solar,0.01
RO OCGT,RO,PQ,47234.5614044,True,flexible,0.0,8.52907089543,inf,0.39,OCGT,58.3846153846
RO ror,RO,PQ,0.0,False,variable,2703.01391007,2703.01391007,inf,1.0,ror,0.0
CZ onwind,CZ,Slack,136428.031355,True,variable,0.0,0.0135048861854,83190.1068189,1.0,onwind,0.015
CZ solar,CZ,PQ,76486.3103324,True,variable,0.0,10666.7917963,60884.8108445,1.0,solar,0.01
CZ OCGT,CZ,PQ,47234.5614044,True,flexible,0.0,7632.27967984,inf,0.39,OCGT,58.3846153846
CZ ror,CZ,PQ,0.0,False,variable,221.0,221.0,inf,1.0,ror,0.0
HU onwind,HU,Slack,136428.031355,True,variable,0.0,0.00951567066704,78289.8281731,1.0,onwind,0.015
HU solar,HU,PQ,76486.3103324,True,variable,0.0,13223.9233243,94185.2429926,1.0,solar,0.01
HU OCGT,HU,PQ,47234.5614044,True,flexible,0.0,4201.60069686,inf,0.39,OCGT,58.3846153846
HU ror,HU,PQ,0.0,False,variable,30.526315788,30.526315788,inf,1.0,ror,0.0
RS onwind,RS,Slack,136428.031355,True,variable,0.0,0.00505516666295,88984.8799134,1.0,onwind,0.015
RS solar,RS,PQ,76486.3103324,True,variable,0.0,13682.2419576,58296.5504528,1.0,solar,0.01
RS OCGT,RS,PQ,47234.5614044,True,flexible,0.0,2436.6443992,inf,0.39,OCGT,58.3846153846
RS ror,RS,PQ,0.0,False,variable,1749.7264437,1749.7264437,inf,1.0,ror,0.0
DE0 onwind,DE,Slack,136428.031355,True,variable,0.0,0.00683568082807,48167.1178737,1.0,onwind,0.015
DE1 onwind,DE,PQ,136428.031355,True,variable,0.0,0.0101790172061,88506.374424,1.0,onwind,0.015
DE2 onwind,DE,PQ,136428.031355,True,variable,0.0,76221.8289161,102391.237219,1.0,onwind,0.015
DE offwind,DE,PQ,295041.156155,True,variable,0.0,54056.4121564,54056.4129555,1.0,offwind,0.02
DE solar,DE,PQ,76486.3103324,True,variable,0.0,0.0273482923263,289068.847367,1.0,solar,0.01
DE OCGT,DE,PQ,47234.5614044,True,flexible,0.0,8016.4197046,inf,0.39,OCGT,58.3846153846
DE ror,DE,PQ,0.0,False,variable,9992.86767571,9992.86767571,inf,1.0,ror,0.0
IE onwind,IE,Slack,136428.031355,True,variable,0.0,45465.1193439,56771.7314682,1.0,onwind,0.015
IE offwind,IE,PQ,295041.156155,True,variable,0.0,0.00311012741231,22268.6923413,1.0,offwind,0.02
IE solar,IE,PQ,76486.3103324,True,variable,0.0,0.00603793367024,54733.9027986,1.0,solar,0.01
IE OCGT,IE,PQ,47234.5614044,True,flexible,0.0,0.990044621673,inf,0.39,OCGT,58.3846153846
IE ror,IE,PQ,0.0,False,variable,106.0,106.0,inf,1.0,ror,0.0
SE0 onwind,SE,Slack,136428.031355,True,variable,0.0,0.00954949101235,29240.6923556,1.0,onwind,0.015
SE1 onwind,SE,PQ,136428.031355,True,variable,0.0,0.0107432555153,75816.758933,1.0,onwind,0.015
SE2 onwind,SE,PQ,136428.031355,True,variable,0.0,0.00965657971295,107551.822846,1.0,onwind,0.015
SE3 onwind,SE,PQ,136428.031355,True,variable,0.0,18611.0904221,132522.987771,1.0,onwind,0.015
SE offwind,SE,PQ,295041.156155,True,variable,0.0,0.00176858272928,111678.574219,1.0,offwind,0.02
SE solar,SE,PQ,76486.3103324,True,variable,0.0,0.00694033478352,60257.9665422,1.0,solar,0.01
SE OCGT,SE,PQ,47234.5614044,True,flexible,0.0,1780.83531478,inf,0.39,OCGT,58.3846153846
SE ror,SE,PQ,0.0,False,variable,6564.0,6564.0,inf,1.0,ror,0.0
DK onwind,DK,Slack,136428.031355,True,variable,0.0,40474.0192098,40474.0201608,1.0,onwind,0.015
DK offwind,DK,PQ,295041.156155,True,variable,0.0,0.0136628332034,106731.977939,1.0,offwind,0.02
DK solar,DK,PQ,76486.3103324,True,variable,0.0,0.00916914399346,42610.8250802,1.0,solar,0.01
DK OCGT,DK,PQ,47234.5614044,True,flexible,0.0,2633.86148927,inf,0.39,OCGT,58.3846153846
IT0 onwind,IT,Slack,136428.031355,True,variable,0.0,0.00663010679477,23384.262049,1.0,onwind,0.015
IT1 onwind,IT,PQ,136428.031355,True,variable,0.0,0.00710105254363,67457.003236,1.0,onwind,0.015
IT2 onwind,IT,PQ,136428.031355,True,variable,0.0,1983.51526169,71072.6451897,1.0,onwind,0.015
