,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,7957.02563886,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,28059.4337179,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,1883.19083189,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,7466.91961728,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.0114804339281,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,21318.9936902,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.00829357573232,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,9509.919325,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,6814.72948819,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,13274.6903845,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,13141.6348926,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,31986.430808,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,2188.27758043,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.0258173186053,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,8676.62819251,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,0.00565284837047,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.00579075110392,43569.1218573,1.0,onwind,0.015
