,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,0.0739372415873,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,43072.3146939,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,0.0128202604755,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,2707.27349018,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.0213395335047,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,16535.9587657,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.00951602044753,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,2459.20831498,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,8657.54133992,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,7607.20235247,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,18633.4791571,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,19224.8211681,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,2266.69386886,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.0222935489823,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,8362.01807143,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,0.00947971072425,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.0120231660173,43569.1218573,1.0,onwind,0.015
FR1 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0163562725684,81168.9280372,1.0,onwind,0.015
FR2 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0216911819811,106764.280358,1.0,onwind,0.015
FR3 onwind,FR,PQ,136428.031355,True,variable,0.0,120019.507016,120019.509498,1.0,onwind,0.015
FR offwind,FR,PQ,295041.156155,True,variable,0.0,21075.5341789,52440.7346121,1.0,offwind,0.02
FR solar,FR,PQ,76486.3103324,True,variable,0.0,106856.474357,396490.695546,1.0,solar,0.01
FR OCGT,FR,PQ,47234.5614044,True,flexible,0.0,14894.6876904,inf,0.39,OCGT,58.3846153846
FR ror,FR,PQ,0.0,False,variable,14122.7428768,14122.7428768,inf,1.0,ror,0.0
NO0 onwind,NO,Slack,136428.031355,True,variable,0.0,0.0101758816039,44266.8732453,1.0,onwind,0.015
NO1 onwind,NO,PQ,136428.031355,True,variable,0.0,0.0137079849242,64706.049073,1.0,onwind,0.015
NO2 onwind,NO,PQ,136428.031355,True,variable,0.0,0.0240659073148,85672.7039587,1.0,onwind,0.015
NO offwind,NO,PQ,295041.156155,True,variable,0.0,0.00456239931708,65256.982421,1.0,offwind,0.02
NO solar,NO,PQ,76486.3103324,True,variable,0.0,0.00797551698642,128135.77152,1.0,solar,0.01
NO OCGT,NO,PQ,47234.5614044,True,flexible,0.0,0.00531387124975,inf,0.39,OCGT,58.3846153846
NO ror,NO,PQ,0.0,False,variable,2317.99733848,2317.99733848,inf,1.0,ror,0.0
BE onwind,BE,Slack,136428.031355,True,variable,0.0,8470.06182962,24161.9951718,1.0,onwind,0.015
BE offwind,BE,PQ,295041.156155,True,variable,0.0,3902.17600382,3902.17600053,1.0,offwind,0.02
BE solar,BE,PQ,76486.3103324,True,variable,0.0,31670.0347421,32504.0376429,1.0,solar,0.01
BE OCGT,BE,PQ,47234.5614044,True,flexible,0.0,4907.16642872,inf,0.39,OCGT,58.3846153846
BE ror,BE,PQ,0.0,False,variable,142.0,142.0,inf,1.0,ror,0.0
GB0 onwind,GB,Slack,136428.031355,True,variable,0.0,0.0474909083672,72616.0284063,1.0,onwind,0.015
GB1 onwind,GB,PQ,136428.031355,True,variable,0.0,109305.342236,126070.735743,1.0,onwind,0.015
GB offwind,GB,PQ,295041.156155,True,variable,0.0,0.0524573855272,180446.507451,1.0,offwind,0.02
GB solar,GB,PQ,76486.3103324,True,variable,0.0,6846.99334302,212041.178578,1.0,solar,0.01
GB OCGT,GB,PQ,47234.5614044,True,flexible,0.0,20084.5351953,inf,0.39,OCGT,58.3846153846
GB ror,GB,PQ,0.0,False,variable,886.0,886.0,inf,1.0,ror,0.0
PL0 onwind,PL,Slack,136428.031355,True,variable,0.0,0.0387761469161,48041.6990537,1.0,onwind,0.015
PL1 onwind,PL,PQ,136428.031355,True,variable,0.0,0.050180953422,88300.3370788,1.0,onwind,0.015
PL2 onwind,PL,PQ,136428.031355,True,variable,0.0,22031.0069459,82185.1687724,1.0,onwind,0.015
PL offwind,PL,PQ,295041.156155,True,variable,0.0,12772.9321715,12772.9322259,1.0,offwind,0.02
PL solar,PL,PQ,76486.3103324,True,variable,0.0,32541.1469104,241452.203044,1.0,solar,0.01
PL OCGT,PL,PQ,47234.5614044,True,flexible,0.0,8836.05616582,inf,0.39,OCGT,58.3846153846
PL ror,PL,PQ,0.0,False,variable,1663.48314597,1663.48314597,inf,1.0,ror,0.0
BG onwind,BG,Slack,136428.031355,True,variable,0.0,0.0478718908227,56309.389011,1.0,onwind,0.015
BG offwind,BG,PQ,295041.156155,True,variable,0.0,0.0106710153597,2730.87703188,1.0,offwind,0.02
BG solar,BG,PQ,76486.3103324,True,variable,0.0,28194.1121264,62957.8920825,1.0,solar,0.01
BG OCGT,BG,PQ,47234.5614044,True,flexible,0.0,1273.17755964,inf,0.39,OCGT,58.3846153846
BG ror,BG,PQ,0.0,False,variable,939.0,939.0,inf,1.0,ror,0.0
GR onwind,GR,Slack,136428.031355,True,variable,0.0,0.0201147739313,33247.8987692,1.0,onwind,0.015
GR offwind,GR,PQ,295041.156155,True,variable,0.0,8947.77030356,42776.7669249,1.0,offwind,0.02
GR solar,GR,PQ,76486.3103324,True,variable,0.0,15988.8803563,56126.4740752,1.0,solar,0.01
GR OCGT,GR,PQ,47234.5614044,True,flexible,0.0,1044.48047573,inf,0.39,OCGT,58.3846153846
GR ror,GR,PQ,0.0,False,variable,648.0,648.0,inf,1.0,ror,0.0
PT onwind,PT,Slack,136428.031355,True,variable,0.0,1459.56204743,48246.9545252,1.0,onwind,0.015
PT offwind,PT,PQ,295041.156155,True,variable,0.0,0.0104482607234,8100.28978217,1.0,offwind,0.02
PT solar,PT,PQ,76486.3103324,True,variable,0.0,30522.6960176,38644.945722,1.0,solar,0.01
PT OCGT,PT,PQ,47234.5614044,True,flexible,0.0,1438.67118966,inf,0.39,OCGT,58.3846153846
PT ror,PT,PQ,0.0,False,variable,3859.54246907,3859.54246907,inf,1.0,ror,0.0
CH onwind,CH,Slack,136428.031355,True,variable,0.0,0.0147339445667,40009.1368411,1.0,onwind,0.015
CH solar,CH,PQ,76486.3103324,True,variable,0.0,27975.542989,33191.2030811,1.0,solar,0.01
CH OCGT,CH,PQ,47234.5614044,True,flexible,0.0,0.00590601956341,inf,0.39,OCGT,58.3846153846
CH ror,CH,PQ,0.0,False,variable,507.22601419,507.22601419,inf,1.0,ror,0.0
HR onwind,HR,Slack,136428.031355,True,variable,0.0,2314.39772196,26191.7407385,1.0,onwind,0.015
HR offwind,HR,PQ,295041.156155,True,variable,0.0,0.0226196255268,18674.160291,1.0,offwind,0.02
HR solar,HR,PQ,76486.3103324,True,variable,0.0,11540.1798372,24763.9061429,1.0,solar,0.01
HR OCGT,HR,PQ,47234.5614044,True,flexible,0.0,0.00951618713374,inf,0.39,OCGT,58.3846153846
HR ror,HR,PQ,0.0,False,variable,800.0,800.0,inf,1.0,ror,0.0
RO0 onwind,RO,Slack,136428.031355,True,variable,0.0,0.0102876923996,31316.9832275,1.0,onwind,0.015
RO1 onwind,RO,PQ,136428.031355,True,variable,0.0,0.0308236048748,110850.902559,1.0,onwind,0.015
RO offwind,RO,PQ,295041.156155,True,variable,0.0,4652.0153146,12769.4118953,1.0,offwind,0.02
RO solar,RO,PQ,76486.3103324,True,variable,0.0,28674.7761162,185750.85085,1.0,solar,0.01
RO OCGT,RO,PQ,47234.5614044,True,flexible,0.0,0.0154071878516,inf,0.39,OCGT,58.3846153846
RO ror,RO,PQ,0.0,False,variable,2703.01391007,2703.01391007,inf,1.0,ror,0.0
CZ onwind,CZ,Slack,136428.031355,True,variable,0.0,7327.27797714,83190.1068189,1.0,onwind,0.015
CZ solar,CZ,PQ,76486.3103324,True,variable,0.0,35061.3020852,60884.8108445,1.0,solar,0.01
CZ OCGT,CZ,PQ,47234.5614044,True,flexible,0.0,1.67909826441,inf,0.39,OCGT,58.3846153846
CZ ror,CZ,PQ,0.0,False,variable,221.0,221.0,inf,1.0,ror,0.0
HU onwind,HU,Slack,136428.031355,True,variable,0.0,3943.3697484,78289.8281731,1.0,onwind,0.015
HU solar,HU,PQ,76486.3103324,True,variable,0.0,28456.5038499,94185.2429926,1.0,solar,0.01
HU OCGT,HU,PQ,47234.5614044,True,flexible,0.0,1948.23884315,inf,0.39,OCGT,58.3846153846
HU ror,HU,PQ,0.0,False,variable,30.526315788,30.526315788,inf,1.0,ror,0.0
RS onwind,RS,Slack,136428.031355,True,variable,0.0,0.0175558201708,88984.8799134,1.0,onwind,0.015
RS solar,RS,PQ,76486.3103324,True,variable,0.0,23658.9325583,58296.5504528,1.0,solar,0.01
RS OCGT,RS,PQ,47234.5614044,True,flexible,0.0,3616.57076861,inf,0.39,OCGT,58.3846153846
RS ror,RS,PQ,0.0,False,variable,1749.7264437,1749.7264437,inf,1.0,ror,0.0
DE0 onwind,DE,Slack,136428.031355,True,variable,0.0,0.0161525894072,48167.1178737,1.0,onwind,0.015
DE1 onwind,DE,PQ,136428.031355,True,variable,0.0,0.0197037127329,88506.374424,1.0,onwind,0.015
