,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,0.00724365646603,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,35256.2706681,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,7356.44686179,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,0.0297225728992,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.0152680891684,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,17416.4452682,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.00433505539523,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,0.00692052244728,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,5008.76638796,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,27852.9276759,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,11445.8015453,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,0.0272638353827,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,6994.98505802,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.00604494894052,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,4759.87040987,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,2.91225902605,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.00598193868305,43569.1218573,1.0,onwind,0.015
FR1 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0089230039093,81168.9280372,1.0,onwind,0.015
FR2 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0151379960222,106764.280358,1.0,onwind,0.015
FR3 onwind,FR,PQ,136428.031355,True,variable,0.0,120019.505542,120019.509498,1.0,onwind,0.015
FR offwind,FR,PQ,295041.156155,True,variable,0.0,4465.96349249,52440.7346121,1.0,offwind,0.02
FR solar,FR,PQ,76486.3103324,True,variable,0.0,35863.3623878,396490.695546,1.0,solar,0.01
FR OCGT,FR,PQ,47234.5614044,True,flexible,0.0,13092.7848307,inf,0.39,OCGT,58.3846153846
FR ror,FR,PQ,0.0,False,variable,14122.7428768,14122.7428768,inf,1.0,ror,0.0
NO0 onwind,NO,Slack,136428.031355,True,variable,0.0,0.00516073088553,44266.8732453,1.0,onwind,0.015
NO1 onwind,NO,PQ,136428.031355,True,variable,0.0,0.00872322735686,64706.049073,1.0,onwind,0.015
NO2 onwind,NO,PQ,136428.031355,True,variable,0.0,60836.0703733,85672.7039587,1.0,onwind,0.015
