,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,0.00440607986358,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,32773.6209137,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,6812.06232752,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,0.0188759172455,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.00931993465623,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,17536.4502943,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.00261417305972,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,0.00455823411062,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,5574.42111138,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,25441.568339,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,12848.9076443,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,0.0235806585334,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,6511.11766864,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.00387360839522,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,4943.72040281,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,0.11648502877,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.00363504121374,43569.1218573,1.0,onwind,0.015
FR1 onwind,FR,PQ,136428.031355,True,variable,0.0,0.00538441591955,81168.9280372,1.0,onwind,0.015
FR2 onwind,FR,PQ,136428.031355,True,variable,0.0,0.00862692729142,106764.280358,1.0,onwind,0.015
FR3 onwind,FR,PQ,136428.031355,True,variable,0.0,120019.506453,120019.509498,1.0,onwind,0.015
FR offwind,FR,PQ,295041.156155,True,variable,0.0,9994.4764163,52440.7346121,1.0,offwind,0.02
FR solar,FR,PQ,76486.3103324,True,variable,0.0,42644.6973847,396490.695546,1.0,solar,0.01
FR OCGT,FR,PQ,47234.5614044,True,flexible,0.0,12846.6465663,inf,0.39,OCGT,58.3846153846
FR ror,FR,PQ,0.0,False,variable,14122.7428768,14122.7428768,inf,1.0,ror,0.0
NO0 onwind,NO,Slack,136428.031355,True,variable,0.0,0.0031521994938,44266.8732453,1.0,onwind,0.015
NO1 onwind,NO,PQ,136428.031355,True,variable,0.0,0.00523985788983,64706.049073,1.0,onwind,0.015
NO2 onwind,NO,PQ,136428.031355,True,variable,0.0,47257.0159838,85672.7039587,1.0,onwind,0.015
NO offwind,NO,PQ,295041.156155,True,variable,0.0,0.00331755183789,65256.982421,1.0,offwind,0.02
NO solar,NO,PQ,76486.3103324,True,variable,0.0,0.00306774347839,128135.77152,1.0,solar,0.01
NO OCGT,NO,PQ,47234.5614044,True,flexible,0.0,0.150831810439,inf,0.39,OCGT,58.3846153846
NO ror,NO,PQ,0.0,False,variable,2317.99733848,2317.99733848,inf,1.0,ror,0.0
BE onwind,BE,Slack,136428.031355,True,variable,0.0,0.00917786068956,24161.9951718,1.0,onwind,0.015
BE offwind,BE,PQ,295041.156155,True,variable,0.0,3902.17527712,3902.17600053,1.0,offwind,0.02
BE solar,BE,PQ,76486.3103324,True,variable,0.0,6666.70650493,32504.0376429,1.0,solar,0.01
BE OCGT,BE,PQ,47234.5614044,True,flexible,0.0,6669.7807139,inf,0.39,OCGT,58.3846153846
BE ror,BE,PQ,0.0,False,variable,142.0,142.0,inf,1.0,ror,0.0
GB0 onwind,GB,Slack,136428.031355,True,variable,0.0,0.046476094697,72616.0284063,1.0,onwind,0.015
GB1 onwind,GB,PQ,136428.031355,True,variable,0.0,126070.724062,126070.735743,1.0,onwind,0.015
GB offwind,GB,PQ,295041.156155,True,variable,0.0,0.00710435683788,180446.507451,1.0,offwind,0.02
GB solar,GB,PQ,76486.3103324,True,variable,0.0,0.00597902487373,212041.178578,1.0,solar,0.01
GB OCGT,GB,PQ,47234.5614044,True,flexible,0.0,0.831264591894,inf,0.39,OCGT,58.3846153846
GB ror,GB,PQ,0.0,False,variable,886.0,886.0,inf,1.0,ror,0.0
PL0 onwind,PL,Slack,136428.031355,True,variable,0.0,0.00968950978584,48041.6990537,1.0,onwind,0.015
PL1 onwind,PL,PQ,136428.031355,True,variable,0.0,0.0135565528111,88300.3370788,1.0,onwind,0.015
PL2 onwind,PL,PQ,136428.031355,True,variable,0.0,11100.8657109,82185.1687724,1.0,onwind,0.015
PL offwind,PL,PQ,295041.156155,True,variable,0.0,12772.9293286,12772.9322259,1.0,offwind,0.02
PL solar,PL,PQ,76486.3103324,True,variable,0.0,0.0120438526175,241452.203044,1.0,solar,0.01
PL OCGT,PL,PQ,47234.5614044,True,flexible,0.0,6695.93675875,inf,0.39,OCGT,58.3846153846
PL ror,PL,PQ,0.0,False,variable,1663.48314597,1663.48314597,inf,1.0,ror,0.0
BG onwind,BG,Slack,136428.031355,True,variable,0.0,0.00456789452578,56309.389011,1.0,onwind,0.015
BG offwind,BG,PQ,295041.156155,True,variable,0.0,0.0015957654006,2730.87703188,1.0,offwind,0.02
BG solar,BG,PQ,76486.3103324,True,variable,0.0,8611.84916499,62957.8920825,1.0,solar,0.01
BG OCGT,BG,PQ,47234.5614044,True,flexible,0.0,298.03905351,inf,0.39,OCGT,58.3846153846
BG ror,BG,PQ,0.0,False,variable,939.0,939.0,inf,1.0,ror,0.0
GR onwind,GR,Slack,136428.031355,True,variable,0.0,0.00535924167886,33247.8987692,1.0,onwind,0.015
GR offwind,GR,PQ,295041.156155,True,variable,0.0,19157.8065496,42776.7669249,1.0,offwind,0.02
GR solar,GR,PQ,76486.3103324,True,variable,0.0,7420.88677132,56126.4740752,1.0,solar,0.01
GR OCGT,GR,PQ,47234.5614044,True,flexible,0.0,287.369430955,inf,0.39,OCGT,58.3846153846
GR ror,GR,PQ,0.0,False,variable,648.0,648.0,inf,1.0,ror,0.0
PT onwind,PT,Slack,136428.031355,True,variable,0.0,0.074212875564,48246.9545252,1.0,onwind,0.015
PT offwind,PT,PQ,295041.156155,True,variable,0.0,0.00388196070146,8100.28978217,1.0,offwind,0.02
PT solar,PT,PQ,76486.3103324,True,variable,0.0,23711.8006074,38644.945722,1.0,solar,0.01
PT OCGT,PT,PQ,47234.5614044,True,flexible,0.0,0.0325127853751,inf,0.39,OCGT,58.3846153846
PT ror,PT,PQ,0.0,False,variable,3859.54246907,3859.54246907,inf,1.0,ror,0.0
CH onwind,CH,Slack,136428.031355,True,variable,0.0,0.00327734797379,40009.1368411,1.0,onwind,0.015
CH solar,CH,PQ,76486.3103324,True,variable,0.0,32617.7289831,33191.2030811,1.0,solar,0.01
CH OCGT,CH,PQ,47234.5614044,True,flexible,0.0,0.239043124837,inf,0.39,OCGT,58.3846153846
CH ror,CH,PQ,0.0,False,variable,507.22601419,507.22601419,inf,1.0,ror,0.0
HR onwind,HR,Slack,136428.031355,True,variable,0.0,0.00936615686956,26191.7407385,1.0,onwind,0.015
HR offwind,HR,PQ,295041.156155,True,variable,0.0,0.00290060883024,18674.160291,1.0,offwind,0.02
HR solar,HR,PQ,76486.3103324,True,variable,0.0,7757.1805404,24763.9061429,1.0,solar,0.01
HR OCGT,HR,PQ,47234.5614044,True,flexible,0.0,1.97992469247,inf,0.39,OCGT,58.3846153846
HR ror,HR,PQ,0.0,False,variable,800.0,800.0,inf,1.0,ror,0.0
RO0 onwind,RO,Slack,136428.031355,True,variable,0.0,0.00296709203531,31316.9832275,1.0,onwind,0.015
RO1 onwind,RO,PQ,136428.031355,True,variable,0.0,0.00825288438618,110850.902559,1.0,onwind,0.015
RO offwind,RO,PQ,295041.156155,True,variable,0.0,1438.06203445,12769.4118953,1.0,offwind,0.02
RO solar,RO,PQ,76486.3103324,True,variable,0.0,22613.4535317,185750.85085,1.0,solar,0.01
RO OCGT,RO,PQ,47234.5614044,True,flexible,0.0,0.050122366976,inf,0.39,OCGT,58.3846153846
RO ror,RO,PQ,0.0,False,variable,2703.01391007,2703.01391007,inf,1.0,ror,0.0
CZ onwind,CZ,Slack,136428.031355,True,variable,0.0,0.00707164894388,83190.1068189,1.0,onwind,0.015
CZ solar,CZ,PQ,76486.3103324,True,variable,0.0,21828.3064626,60884.8108445,1.0,solar,0.01
CZ OCGT,CZ,PQ,47234.5614044,True,flexible,0.0,6761.40611192,inf,0.39,OCGT,58.3846153846
CZ ror,CZ,PQ,0.0,False,variable,221.0,221.0,inf,1.0,ror,0.0
HU onwind,HU,Slack,136428.031355,True,variable,0.0,0.00720167187834,78289.8281731,1.0,onwind,0.015
HU solar,HU,PQ,76486.3103324,True,variable,0.0,16248.0922181,94185.2429926,1.0,solar,0.01
HU OCGT,HU,PQ,47234.5614044,True,flexible,0.0,3035.35793746,inf,0.39,OCGT,58.3846153846
HU ror,HU,PQ,0.0,False,variable,30.526315788,30.526315788,inf,1.0,ror,0.0
RS onwind,RS,Slack,136428.031355,True,variable,0.0,0.00369205323955,88984.8799134,1.0,onwind,0.015
RS solar,RS,PQ,76486.3103324,True,variable,0.0,16913.211088,58296.5504528,1.0,solar,0.01
RS OCGT,RS,PQ,47234.5614044,True,flexible,0.0,1792.15342287,inf,0.39,OCGT,58.3846153846
RS ror,RS,PQ,0.0,False,variable,1749.7264437,1749.7264437,inf,1.0,ror,0.0
DE0 onwind,DE,Slack,136428.031355,True,variable,0.0,0.00395492204316,48167.1178737,1.0,onwind,0.015
DE1 onwind,DE,PQ,136428.031355,True,variable,0.0,0.0050248077091,88506.374424,1.0,onwind,0.015
DE2 onwind,DE,PQ,136428.031355,True,variable,0.0,68906.237004,102391.237219,1.0,onwind,0.015
DE offwind,DE,PQ,295041.156155,True,variable,0.0,54056.4103047,54056.4129555,1.0,offwind,0.02
DE solar,DE,PQ,76486.3103324,True,variable,0.0,0.0367441686563,289068.847367,1.0,solar,0.01
DE OCGT,DE,PQ,47234.5614044,True,flexible,0.0,7524.61941509,inf,0.39,OCGT,58.3846153846
DE ror,DE,PQ,0.0,False,variable,9992.86767571,9992.86767571,inf,1.0,ror,0.0
IE onwind,IE,Slack,136428.031355,True,variable,0.0,15056.5433182,56771.7314682,1.0,onwind,0.015
IE offwind,IE,PQ,295041.156155,True,variable,0.0,0.00206259704827,22268.6923413,1.0,offwind,0.02
IE solar,IE,PQ,76486.3103324,True,variable,0.0,0.00407031425151,54733.9027986,1.0,solar,0.01
IE OCGT,IE,PQ,47234.5614044,True,flexible,0.0,0.119815801596,inf,0.39,OCGT,58.3846153846
IE ror,IE,PQ,0.0,False,variable,106.0,106.0,inf,1.0,ror,0.0
SE0 onwind,SE,Slack,136428.031355,True,variable,0.0,0.00523654483675,29240.6923556,1.0,onwind,0.015
SE1 onwind,SE,PQ,136428.031355,True,variable,0.0,0.0052543848134,75816.758933,1.0,onwind,0.015
SE2 onwind,SE,PQ,136428.031355,True,variable,0.0,0.00550112599268,107551.822846,1.0,onwind,0.015
SE3 onwind,SE,PQ,136428.031355,True,variable,0.0,18180.051656,132522.987771,1.0,onwind,0.015
SE offwind,SE,PQ,295041.156155,True,variable,0.0,0.00160152903127,111678.574219,1.0,offwind,0.02
SE solar,SE,PQ,76486.3103324,True,variable,0.0,0.00417569124503,60257.9665422,1.0,solar,0.01
SE OCGT,SE,PQ,47234.5614044,True,flexible,0.0,0.238498174964,inf,0.39,OCGT,58.3846153846
SE ror,SE,PQ,0.0,False,variable,6564.0,6564.0,inf,1.0,ror,0.0
DK onwind,DK,Slack,136428.031355,True,variable,0.0,40474.0172224,40474.0201608,1.0,onwind,0.015
DK offwind,DK,PQ,295041.156155,True,variable,0.0,0.00578671200612,106731.977939,1.0,offwind,0.02
DK solar,DK,PQ,76486.3103324,True,variable,0.0,0.00563483425503,42610.8250802,1.0,solar,0.01
DK OCGT,DK,PQ,47234.5614044,True,flexible,0.0,0.287195884114,inf,0.39,OCGT,58.3846153846
IT0 onwind,IT,Slack,136428.031355,True,variable,0.0,0.00291264382906,23384.262049,1.0,onwind,0.015
IT1 onwind,IT,PQ,136428.031355,True,variable,0.0,0.00389893894643,67457.003236,1.0,onwind,0.015
IT2 onwind,IT,PQ,136428.031355,True,variable,0.0,18715.8925267,71072.6451897,1.0,onwind,0.015
IT offwind,IT,PQ,295041.156155,True,variable,0.0,0.00204795407105,42004.716364,1.0,offwind,0.02
IT solar,IT,PQ,76486.3103324,True,variable,0.0,162031.255953,201161.125434,1.0,solar,0.01
IT OCGT,IT,PQ,47234.5614044,True,flexible,0.0,9001.48281429,inf,0.39,OCGT,58.3846153846
IT ror,IT,PQ,0.0,False,variable,8752.0,8752.0,inf,1.0,ror,0.0
SI onwind,SI,Slack,136428.031355,True,variable,0.0,0.00241417257687,11210.9090865,1.0,onwind,0.015
SI solar,SI,PQ,76486.3103324,True,variable,0.0,669.766148507,7498.2945251,1.0,solar,0.01
SI OCGT,SI,PQ,47234.5614044,True,flexible,0.0,2294.07752913,inf,0.39,OCGT,58.3846153846
SI ror,SI,PQ,0.0,False,variable,500.0,500.0,inf,1.0,ror,0.0
ES0 onwind,ES,Slack,136428.031355,True,variable,0.0,0.00296100124128,37083.6019453,1.0,onwind,0.015
ES1 onwind,ES,PQ,136428.031355,True,variable,0.0,0.0034053252148,86839.3382404,1.0,onwind,0.015
ES2 onwind,ES,PQ,136428.031355,True,variable,0.0,0.00509732159753,78556.6936336,1.0,onwind,0.015
ES3 onwind,ES,PQ,136428.031355,True,variable,0.0,46204.0762198,93189.2333087,1.0,onwind,0.015
ES offwind,ES,PQ,295041.156155,True,variable,0.0,0.0025299554405,16168.535086,1.0,offwind,0.02
ES solar,ES,PQ,76486.3103324,True,variable,0.0,123758.828011,313481.541765,1.0,solar,0.01
ES OCGT,ES,PQ,47234.5614044,True,flexible,0.0,0.017295028102,inf,0.39,OCGT,58.3846153846
ES ror,ES,PQ,0.0,False,variable,1044.35190926,1044.35190926,inf,1.0,ror,0.0
LU onwind,LU,Slack,136428.031355,True,variable,0.0,0.0107622430156,3785.23091705,1.0,onwind,0.015
LU solar,LU,PQ,76486.3103324,True,variable,0.0,2465.3366855,2465.33728361,1.0,solar,0.01
LU OCGT,LU,PQ,47234.5614044,True,flexible,0.0,898.498502687,inf,0.39,OCGT,58.3846153846
SK onwind,SK,Slack,136428.031355,True,variable,0.0,0.00466377842126,28992.8511218,1.0,onwind,0.015
SK solar,SK,PQ,76486.3103324,True,variable,0.0,10738.9877677,28299.5866268,1.0,solar,0.01
