,bus,p_min_pu_fixed,capital_cost,p_nom_extendable,p_nom,p_nom_opt,carrier,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch
CH battery,CH,-1.0,120388.58286,True,0.0,6373.7233296,battery,True,6.0,0.9,0.9
HR PHS,HR,-1.0,0.0,False,610.0,610.0,PHS,True,6.0,0.866025403784,0.866025403784
HR hydro,HR,0.0,0.0,False,1200.0,1200.0,hydro,True,2333.33333333,0.0,1.0
HR H2,HR,-1.0,195362.993923,True,0.0,0.00743428177731,H2,True,168.0,0.75,0.58
HR battery,HR,-1.0,120388.58286,True,0.0,3390.47751775,battery,True,6.0,0.9,0.9
RO PHS,RO,-1.0,0.0,False,90.0,90.0,PHS,True,6.0,0.866025403784,0.866025403784
RO hydro,RO,0.0,0.0,False,3846.98608993,3846.98608993,hydro,True,3145.31940515,0.0,1.0
RO H2,RO,-1.0,195362.993923,True,0.0,0.0144881545559,H2,True,168.0,0.75,0.58
RO battery,RO,-1.0,120388.58286,True,0.0,8297.79515949,battery,True,6.0,0.9,0.9
CZ PHS,CZ,-1.0,0.0,False,680.0,680.0,PHS,True,6.0,0.866025403784,0.866025403784
CZ hydro,CZ,0.0,0.0,False,1989.0,1989.0,hydro,True,754.147812971,0.0,1.0
CZ H2,CZ,-1.0,195362.993923,True,0.0,0.0244000683765,H2,True,168.0,0.75,0.58
CZ battery,CZ,-1.0,120388.58286,True,0.0,6938.31962599,battery,True,6.0,0.9,0.9
HU hydro,HU,0.0,0.0,False,29.473684212,29.473684212,hydro,True,3392.85714269,0.0,1.0
HU H2,HU,-1.0,195362.993923,True,0.0,0.0121461252957,H2,True,168.0,0.75,0.58
HU battery,HU,-1.0,120388.58286,True,0.0,10560.6942514,battery,True,6.0,0.9,0.9
RS PHS,RS,-1.0,0.0,False,610.0,610.0,PHS,True,6.0,0.866025403784,0.866025403784
RS hydro,RS,0.0,0.0,False,390.273556298,390.273556298,hydro,True,0.0,0.0,1.0
RS H2,RS,-1.0,195362.993923,True,0.0,0.0147597150002,H2,True,168.0,0.75,0.58
RS battery,RS,-1.0,120388.58286,True,0.0,7839.91463263,battery,True,6.0,0.9,0.9
DE PHS,DE,-1.0,0.0,False,6800.0,6800.0,PHS,True,6.0,0.866025403784,0.866025403784
DE hydro,DE,0.0,0.0,False,1267.13232429,1267.13232429,hydro,True,236.755068314,0.0,1.0
DE H2,DE,-1.0,195362.993923,True,0.0,23340.9028458,H2,True,168.0,0.75,0.58
DE battery,DE,-1.0,120388.58286,True,0.0,2678.65189379,battery,True,6.0,0.9,0.9
IE PHS,IE,-1.0,0.0,False,290.0,290.0,PHS,True,6.0,0.866025403784,0.866025403784
IE hydro,IE,0.0,0.0,False,424.0,424.0,hydro,True,0.0,0.0,1.0
IE H2,IE,-1.0,195362.993923,True,0.0,1377.92844015,H2,True,168.0,0.75,0.58
IE battery,IE,-1.0,120388.58286,True,0.0,0.13156975633,battery,True,6.0,0.9,0.9
SE PHS,SE,-1.0,0.0,False,100.0,100.0,PHS,True,6.0,0.866025403784,0.866025403784
SE hydro,SE,0.0,0.0,False,9846.0,9846.0,hydro,True,3432.86613853,0.0,1.0
SE H2,SE,-1.0,195362.993923,True,0.0,0.00667727014736,H2,True,168.0,0.75,0.58
SE battery,SE,-1.0,120388.58286,True,0.0,0.0138220513113,battery,True,6.0,0.9,0.9
DK H2,DK,-1.0,195362.993923,True,0.0,3424.57566942,H2,True,168.0,0.75,0.58
DK battery,DK,-1.0,120388.58286,True,0.0,0.0463078382601,battery,True,6.0,0.9,0.9
IT PHS,IT,-1.0,0.0,False,7550.0,7550.0,PHS,True,6.0,0.866025403784,0.866025403784
IT hydro,IT,0.0,0.0,False,13128.0,13128.0,hydro,True,601.767215113,0.0,1.0
IT H2,IT,-1.0,195362.993923,True,0.0,0.020426528038,H2,True,168.0,0.75,0.58
IT battery,IT,-1.0,120388.58286,True,0.0,63629.5391124,battery,True,6.0,0.9,0.9
SI PHS,SI,-1.0,0.0,False,180.0,180.0,PHS,True,6.0,0.866025403784,0.866025403784
SI hydro,SI,0.0,0.0,False,750.0,750.0,hydro,True,2933.33333333,0.0,1.0
SI H2,SI,-1.0,195362.993923,True,0.0,0.00779176430285,H2,True,168.0,0.75,0.58
SI battery,SI,-1.0,120388.58286,True,0.0,2411.4436202,battery,True,6.0,0.9,0.9
ES PHS,ES,-1.0,0.0,False,2750.0,2750.0,PHS,True,6.0,0.866025403784,0.866025403784
ES hydro,ES,0.0,0.0,False,17505.6480907,17505.6480907,hydro,True,1051.0893344,0.0,1.0
ES H2,ES,-1.0,195362.993923,True,0.0,0.161574968263,H2,True,168.0,0.75,0.58
ES battery,ES,-1.0,120388.58286,True,0.0,52012.8702322,battery,True,6.0,0.9,0.9
LU PHS,LU,-1.0,0.0,False,1290.0,1290.0,PHS,True,6.0,0.866025403784,0.866025403784
LU hydro,LU,0.0,0.0,False,345.277777828,345.277777828,hydro,True,0.0,0.0,1.0
LU H2,LU,-1.0,195362.993923,True,0.0,0.0189768008492,H2,True,168.0,0.75,0.58
LU battery,LU,-1.0,120388.58286,True,0.0,0.010948401227,battery,True,6.0,0.9,0.9
SK PHS,SK,-1.0,0.0,False,920.0,920.0,PHS,True,6.0,0.866025403784,0.866025403784
SK H2,SK,-1.0,195362.993923,True,0.0,0.0116657844099,H2,True,168.0,0.75,0.58
SK battery,SK,-1.0,120388.58286,True,0.0,4333.23430937,battery,True,6.0,0.9,0.9
EE H2,EE,-1.0,195362.993923,True,0.0,427.650275106,H2,True,168.0,0.75,0.58
EE battery,EE,-1.0,120388.58286,True,0.0,167.166679882,battery,True,6.0,0.9,0.9
LV H2,LV,-1.0,195362.993923,True,0.0,485.17773413,H2,True,168.0,0.75,0.58
LV battery,LV,-1.0,120388.58286,True,0.0,0.08735762498,battery,True,6.0,0.9,0.9
LT PHS,LT,-1.0,0.0,False,760.0,760.0,PHS,True,6.0,0.866025403784,0.866025403784
LT hydro,LT,0.0,0.0,False,528.0,528.0,hydro,True,378.787878788,0.0,1.0
LT H2,LT,-1.0,195362.993923,True,0.0,0.135666351346,H2,True,168.0,0.75,0.58
LT battery,LT,-1.0,120388.58286,True,0.0,0.0204812665489,battery,True,6.0,0.9,0.9
